,Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,Currency
2,Acta Dermato-Venereologica,0001-5555,1651-2057,1600.0,EUR - Euro
3,Acta Mycologica,0001-625X,2353-074X,200.0,EUR - Euro
4,Acta Societatis Botanicorum Poloniae,0001-6977,2083-9480,520.0,EUR - Euro
9,Journal of the American Society for Horticultural Science,0003-1062,2327-9788,3500.0,USD - US Dollar
13,Archives Animal Breeding,0003-9438,2363-9822,240.0,EUR - Euro
18,Arquivos Brasileiros de Oftalmologia,0004-2749,1678-2925,500.0,BRL - Brazilian Real
22,Automatika,0005-1144,1848-3380,300.0,GBP - Pound Sterling
28,Bragantia,0006-8705,1678-4499,50.0,USD - US Dollar
31,Caryologia ,0008-7114,2165-5391,150.0,EUR - Euro
40,Comprehensive Psychiatry,0010-440X,1532-8384,2100.0,USD - US Dollar
43,Current Therapeutic Research,0011-393X,1879-0313,750.0,USD - US Dollar
54,DIE ERDE: Journal of the Geographical Society of Berlin,0013-9998,,350.0,EUR - Euro
57,Farmacja Polska,0014-8261,2544-8552,540.0,PLN - Zloty
60,Florida Entomologist,0015-4040,,747.0,USD - US Dollar
66,Netherlands Journal of Geosciences,0016-7746,1573-9708,1870.0,GBP - Pound Sterling
70,Ginekologia Polska,0017-0011,,400.0,EUR - Euro
75,Hereditas,0018-0661,1601-5223,1370.0,GBP - Pound Sterling
83,Indian Journal of Public Health,0019-557X,2229-7693,4000.0,INR - Indian Rupee
85,Measurement + Control,0020-2940,2051-8730,1200.0,USD - US Dollar
86,Arquivos do Instituto Biológico,0020-3653,1808-1657,50.0,BRL - Brazilian Real
89,Jornal de Pediatria,0021-7557,1678-4782,1000.0,USD - US Dollar
90,Journal of Glaciology,0022-1430,1727-5652,1200.0,GBP - Pound Sterling
96,Koers : Bulletin for Christian Scholarship,0023-270X,2304-8557,513.0,ZAR - Rand
105,Indonesian Journal of Geography,0024-9521,2354-9114,100.0,USD - US Dollar
107,Medicina (Buenos Aires),0025-7680,1669-9106,3000.0,ARS - Argentine Peso
108,Medicine,0025-7974,1536-5964,1200.0,USD - US Dollar
109,Journal of the Meteorological Society of Japan,0026-1165,,220000.0,JPY - Yen
110,Micronesica,0026-279X,,350.0,USD - US Dollar
114,Annals of the College of Medicine Mosul,0027-1446,2309-6217,125000.0,IQD - Iraqi Dinar
120,Nukleonika,0029-5922,,45.0,EUR - Euro
123,Pakistan Armed Forces Medical Journal,0030-9648,2411-8842,1000.0,PKR - Pakistan Rupee
127,Phytopathologia Mediterranea,0031-9465,1593-2095,750.0,EUR - Euro
130,Postępy Higieny i Medycyny Doświadczalnej,0032-5449,1732-2693,1100.0,PLN - Zloty
131,Poultry Science,0032-5791,1525-3171,2000.0,USD - US Dollar
132,Prismet,0032-8847,2535-311X,7000.0,NOK - Norwegian Krone
136,Psyche: A Journal of Entomology,0033-2615,1687-7438,775.0,USD - US Dollar
137,Psychologica Belgica,0033-2879,2054-670X,300.0,GBP - Pound Sterling
139,Raumforschung und Raumordnung,0034-0111,1869-4179,250.0,EUR - Euro
145,Revista Brasileira de Economia,0034-7140,1806-9134,360.0,BRL - Brazilian Real
146,Revista Brasileira de Enfermagem,0034-7167,1984-0446,1300.0,BRL - Brazilian Real
152,Revista Ceres,0034-737X,2177-3491,250.0,BRL - Brazilian Real
172,Revista de Saúde Pública,0034-8910,1518-8787,1800.0,BRL - Brazilian Real
179,Roczniki Panstwowego Zakladu Higieny,0035-7715,2451-2311,150.0,EUR - Euro
183,Revista do Instituto de Medicina Tropical de São Paulo,0036-4665,1678-9946,400.0,USD - US Dollar
184,Scientia Pharmaceutica,0036-8709,2218-0532,600.0,CHF - Swiss Franc
188,Social Work/Maatskaplike Werk,0037-8054,2312-7198,3420.0,ZAR - Rand
191,BSGF - Earth Sciences Bulletin,0037-9409,1777-5817,500.0,EUR - Euro
201,Taal en Tongval: Language Variation in the Low Countries,0039-8691,2215-1214,200.0,EUR - Euro
207,Tydskrif vir Letterkunde,0041-476X,2309-9070,6000.0,ZAR - Rand
212,مجلة كلية الطب,0041-9419,2410-8057,83.0,USD - US Dollar
218,Vojnosanitetski Pregled,0042-8450,2406-0720,150.0,EUR - Euro
226,Revista Ciência Agronômica ,0045-6888,1806-6690,360.0,BRL - Brazilian Real
227,Egyptian Journal of Genetics and Cytology,0046-161X,,750.0,EGP - Egyptian Pound
229,"Inquiry: The Journal of Health Care Organization, Provision, and Financing",0046-9580,1945-7243,1200.0,USD - US Dollar
230,Boletim do Instituto de Pesca,0046-9939,1678-2305,300.0,USD - US Dollar
241,Acta Agrobotanica,0065-0951,2300-357X,200.0,EUR - Euro
258,The Iraqi Journal of Agricultural science,0075-0530,2410-0862,200.0,USD - US Dollar
260,Koedoe: African Protected Area Conservation and Science,0075-6458,2071-0771,1091.0,ZAR - Rand
270,Postępy Mikrobiologii,0079-4252,2545-3149,100.0,USD - US Dollar
274,Revista da Escola de Enfermagem da USP,0080-6234,1980-220X,360.0,USD - US Dollar
282,Revista Brasileira de Entomologia,0085-5626,1806-9665,300.0,USD - US Dollar
287,Revista Brasileira de Ciência do Solo,0100-0683,1806-9657,1200.0,USD - US Dollar
293,Brazilian Journal of Veterinary Medicine,0100-2430,2527-2179,100.0,USD - US Dollar
294,Revista Brasileira de Fruticultura,0100-2945,1806-9967,1400.0,BRL - Brazilian Real
296,Revista Caatinga,0100-316X,1983-2125,300.0,BRL - Brazilian Real
299,Química Nova,0100-4042,1678-7064,330.0,USD - US Dollar
302,Summa Phytopathologica,0100-5405,,100.0,BRL - Brazilian Real
303,Revista Brasileira de Educação Médica,0100-5502,1981-5271,1000.0,BRL - Brazilian Real
306,Engenharia Agrícola,0100-6916,,110.0,BRL - Brazilian Real
307,Revista do Colégio Brasileiro de Cirurgiões,0100-6991,1809-4546,1000.0,BRL - Brazilian Real
309,Pesquisa Veterinária Brasileira,0100-736X,1678-5150,480.0,USD - US Dollar
310,Planta Daninha,0100-8358,,300.0,BRL - Brazilian Real
313,Brazilian Journal of Medical and Biological Research,0100-879X,1414-431X,1400.0,USD - US Dollar
314,Revista de Odontologia da UNESP,0101-1774,1807-2577,450.0,BRL - Brazilian Real
316,Food Science and Technology,0101-2061,1678-457X,220.0,USD - US Dollar
350,Anuário do Instituto de Geociências,0101-9759,1982-3908,330.0,BRL - Brazilian Real
353,Horticultura Brasileira,0102-0536,,205.0,USD - US Dollar
355,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,0102-0935,1678-4162,800.0,USD - US Dollar
379,Revista Gaúcha de Enfermagem ,0102-6933,1983-1447,500.0,BRL - Brazilian Real
386,Psicologia: Reflexão e Crítica,0102-7972,1678-7153,660.0,GBP - Pound Sterling
