journal_full_title,2015,2016,2017,2018,2019,2020,issn,issn_print,issn_electronic,issn_l
Journal of Pain Research,1396.27,1540.01,2002.5163157894738,1907.478,2032.13,,1178-7090,,1178-7090,1178-7090
Frontiers in Psychology,1312.9484108527126,1699.8495433789953,1862.227794676806,1907.7851711026615,2019.5209009009009,1940.037142857143,1664-1078,,1664-1078,1664-1078
i-Perception,502.89,409.43111111111125,460.82750000000016,598.9484615384615,448.10600000000005,768.22,2041-6695,2041-6695,2041-6695,2041-6695
PLOS ONE,1290.6071504307488,1407.9255396711935,1453.8000139860142,1441.1113601532566,1588.4978142857142,1719.8584615384614,1932-6203,,1932-6203,1932-6203
International Journal of Higher Education,,,428.045,,,,1927-6052,1927-6044,1927-6052,1927-6044
BMC Neuroscience,1628.8933333333334,1624.240833333333,1661.8557142857142,1691.18125,1661.24,,1471-2202,1471-2202,1471-2202,1471-2202
Electronic Journal of Research in Education Psychology,,,,107.1,,,1696-2095,,1696-2095,1696-2095
Frontiers in Human Neuroscience,1362.8144303797467,1718.7328205128204,1883.8878823529408,1944.5521428571426,2042.4999999999993,1956.0,1662-5161,,1662-5161,1662-5161
Journal of Medical Internet Research,1728.905,2042.0126315789475,2559.234827586207,2325.6055172413794,2302.54,,1438-8871,,1438-8871,1438-8871
BMC Neurology,1625.2394117647061,1635.8126315789475,1640.5555555555554,1668.9589999999998,1996.9042857142865,,1471-2377,,1471-2377,1471-2377
Health and Quality of Life Outcomes,1729.0873333333334,1670.55625,1613.8830769230774,1670.0388888888888,1675.5666666666668,,1477-7525,1477-7525,1477-7525,1477-7525
Frontiers in Oncology,1463.1776923076925,1311.926666666667,1729.4950000000006,1792.8958064516128,1946.80675,1856.4933333333333,2234-943X,,2234-943X,2234-943X
Disease Markers,,,1869.465,1694.355,1963.0,,0278-0240,0278-0240,1875-8630,0278-0240
Annals of Transplantation,834.2900000000003,1122.13,1136.0,1488.49,1819.6533333333332,,2329-0358,,2329-0358,1425-9524
New Journal of Physics,1482.1157865168539,1491.4238650306747,1428.113154362416,1525.5502970297034,1498.011304347826,1237.6,1367-2630,,1367-2630,1367-2630
