title,halId
10 years of IASI CO retrievals,insu-01969098
10 years of IASI CO retrievals,insu-01967713
Application of a synergistic framework to airborne radar-lidar measurements to retrieve ice cloud microphysics,insu-01569589
Application of a synergistic framework to airborne radar-lidar measurements to retrieve ice cloud microphysics,insu-01565255
Assessment of future climatic conditions in French vineyards. Consequences for defining adaptation strategies.,hal-01340847
Assessment of future climatic conditions in French vineyards. Consequences for defining adaptation strategies.,hal-02743075
Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01421030
Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01261559
Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01251347
Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01421020
"Composition\, seasonal change and bathymetry of Ligeia Mare\, Titan\, derived from its 2.2-cm thermal emission",insu-01211601
"Composition\, seasonal change and bathymetry of Ligeia Mare\, Titan\, derived from its 2.2-cm thermal emission",insu-01246645
Cross-polar transport and scavenging of Siberian aerosols containing black carbon during the 2012 ACCESS summer campaign,insu-01567802
Cross-polar transport and scavenging of Siberian aerosols containing black carbon during the 2012 ACCESS summer campaign,insu-01564611
DORIS: Discovering Ontological Relations In Services,hal-01417095
DORIS: Discovering Ontological Relations in Services,hal-01421837
Distribution and Time Evolution of the Ozone Instantaneous Longwave Radiative Effect from IASI and TES Observations,insu-01160267
Distribution and Time Evolution of the Ozone Instantaneous Longwave Radiative Effect from IASI and TES Observations,insu-01159021
Droit de la consommation,halshs-02215419
Droit de la consommation,halshs-02450097
Droit de la consommation,halshs-02216061
Droit de la consommation,halshs-02214610
Droit des biens,halshs-01844163
Droit des biens,halshs-02450227
Droit des biens,halshs-02215553
Droit des biens,halshs-02216355
Droit des biens,halshs-02214924
Droit des étrangers et de la nationalité,halshs-02215383
Droit des étrangers et de la nationalité,halshs-02214578
Droit des étrangers et de la nationalité,halshs-01843901
Droit des étrangers et de la nationalité,halshs-02450062
Droit des étrangers et de la nationalité,halshs-02216029
Droit international privé,halshs-02214725
Droit international privé,halshs-02215468
Droit international privé,halshs-01844195
Droit international privé,halshs-02450143
Droit international privé,halshs-02216155
Evidence for Convective Invigoration from A-Train Observations,insu-01254940
Evidence for Convective Invigoration from A-Train Observations,insu-01448611
Excitonic emission of hybrid lead iodide perovskite single crystals.,hal-01556301
Excitonic emission of hybrid lead iodide perovskite single crystals.,hal-01556305
Fast growth of monocrystalline thin films of 2D layered hybrid perovskite,hal-01556307
Fast growth of monocrystalline thin films of 2D layered hybrid perovskite,hal-01668288
