doi,halId
10.1001/archderm.140.10.1220,
10.1001/archderm.141.2.183,
10.1001/jama.2014.18484,
10.1001/jama.2015.18202,
10.1001/jama.2016.0287,
10.1001/jama.2016.13512,hal-01374313
10.1001/jama.2016.14568,
10.1001/jama.2017.21269,
10.1001/jama.2017.9644,
10.1001/jama.2018.10090,
10.1001/jama.2018.16975,
10.1001/jama.2018.4072,hal-01791582
10.1001/jama.2019.1432,hal-02362862
10.1001/jama.2019.14901,
10.1001/jama.2020.17023,
10.1001/jamacardio.2018.1470,
10.1001/jamadermatol.2015.2707,
10.1001/jamadermatol.2019.0425,hal-02863397
10.1001/jamainternmed.2016.1548,
10.1001/jamainternmed.2019.1483,hal-02340247
10.1001/jamainternmed.2019.2322,
10.1001/jamainternmed.2019.2478,
10.1001/jamanetworkopen.2018.7147,
10.1001/jamanetworkopen.2019.10915,
10.1001/jamanetworkopen.2019.13563,inserm-02468477
10.1001/jamanetworkopen.2019.16205,
10.1001/jamaneurol.2018.1885,
10.1001/jamaneurol.2018.3960,
10.1001/jamaoncol.2015.0830,
10.1001/jamaoncol.2015.4377,
10.1001/jamaoncol.2015.5225,
10.1001/jamaoncol.2016.0339,
10.1001/jamaoncol.2016.5945,
10.1001/jamaoncol.2017.1358,
10.1001/jamaoncol.2017.2899,
10.1001/jamaoncol.2018.1771,
10.1001/jamaoncol.2018.2078,
10.1001/jamaoncol.2020.5660,
10.1001/jamaophthalmol.2015.6088,
10.1001/jamaophthalmol.2016.1889,
10.1001/jamaophthalmol.2018.3939,hal-02316635
10.1001/jamaoto.2018.3882,
10.1001/jamapediatrics.2014.3351,hal-02462370
10.1001/jamapediatrics.2015.3210,
10.1001/jamapediatrics.2016.0382,
10.1001/jamapediatrics.2016.0385,
10.1001/jamapediatrics.2017.0124,
10.1001/jamapediatrics.2017.1333,hal-02048122
10.1001/jamapediatrics.2017.3799,
10.1001/jamapediatrics.2018.5273,
10.1001/jamapediatrics.2019.0711,
10.1001/jamapsychiatry.2017.0660,
10.1001/jamapsychiatry.2018.2119,
10.1002/(sici)1097-0223(199908)19:8<755::aid-pd629>3.0.co;2-#,
10.1002/(sici)1098-1004(200004)15:4<309::aid-humu2>3.0.co;2-c,
10.1002/14651858.cd002243.pub4,
10.1002/14651858.cd004427.pub4,
10.1002/1521-3765(20010417)7:8<1712::aid-chem17120>3.0.co;2-g,
10.1002/1521-3765(20020118)8:2<349::aid-chem349>3.0.co;2-5,
10.1002/1521-3773(20020503)41:9<1594::aid-anie1594>3.0.co;2-w,
10.1002/1615-9861(200102)1:2<186::aid-prot186>3.0.co;2-g,
10.1002/1878-0261.12180,
10.1002/1878-0261.12191,
10.1002/2013gb004655,hal-01806221
10.1002/2013pa002593,
10.1002/2013pa002599,
10.1002/2014gb004931,hal-01806667
10.1002/2014gb004941,hal-01806195
10.1002/2014gb004988,hal-01805579
10.1002/2014gb004999,hal-01806158
10.1002/2014gb005007,
10.1002/2014gb005021,hal-01806155
10.1002/2014gb005046,hal-01806157
10.1002/2014gb005080,hal-01805574
10.1002/2014gb005082,insu-01175896
10.1002/2014gc005550,hal-01806666
10.1002/2014gl062142,hal-01130187
10.1002/2014gl062300,hal-01121226
10.1002/2014gl062512,hal-02884305
10.1002/2014gl062531,hal-01806252
10.1002/2014gl062891,hal-01109116
10.1002/2014jc010388,
10.1002/2014jc010463,hal-01806669
10.1002/2014jd022180,hal-01806200
10.1002/2014jd022322,hal-02897365
10.1002/2014jd022406,hal-02324507
10.1002/2014jd022558,hal-01184830
10.1002/2014jd022602,hal-01116711
10.1002/2014jd022766,hal-01806235
10.1002/2014jd022962,hal-01806183
10.1002/2014jd022984,insu-01236182
10.1002/2014jd022985,hal-01806181
10.1002/2014je004660,hal-01076673
10.1002/2014je004737,insu-01218165
10.1002/2014pa002720,
10.1002/2014wr016357,insu-01203278
10.1002/2015gb005140,hal-01575244
10.1002/2015gb005180,hal-01491302
10.1002/2015gb005207,
10.1002/2015gb005214,hal-01331852
10.1002/2015gb005239,hal-02922844
10.1002/2015gb005277,hal-02881295
10.1002/2015gb005289,
10.1002/2015gb005360,hal-02904015
10.1002/2015gc005871,
10.1002/2015gc006234,insu-01388742
10.1002/2015gl063506,
10.1002/2015gl063824,insu-01154835
10.1002/2015gl063863,hal-01164683
10.1002/2015gl064002,hal-01806167
10.1002/2015gl064410,hal-01806168
10.1002/2015gl064500,insu-01176074
10.1002/2015gl064604,insu-01175753
10.1002/2015gl065073,hal-01211485
10.1002/2015gl065087,hal-01806105
10.1002/2015gl065205,insu-01238399
10.1002/2015gl065287,insu-01238239
10.1002/2015gl065290,insu-01238183
10.1002/2015gl065293,insu-01238375
10.1002/2015gl065294,insu-01238228
10.1002/2015gl065304,insu-01238391
10.1002/2015gl065319,insu-01238173
10.1002/2015gl065341,insu-01238292
10.1002/2015gl065419,insu-01238335
10.1002/2015gl065487,insu-01238383
10.1002/2015gl065489,insu-01238210
10.1002/2015gl065496,insu-01202973
10.1002/2015gl065804,insu-01218106
10.1002/2015gl066170,insu-01238144
10.1002/2015gl066268,insu-01238446
10.1002/2015gl066753,hal-01400901
10.1002/2015gl066764,hal-01805157
10.1002/2015gl067359,hal-01587559
10.1002/2015gl067489,hal-01587469
10.1002/2015ja021018,insu-01220125
10.1002/2015ja021038,insu-01276775
10.1002/2015ja021070,insu-01175688
10.1002/2015ja021102,insu-01239903
10.1002/2015ja021150,insu-01175870
10.1002/2015ja021230,insu-01231973
10.1002/2015ja021318,hal-01551990
10.1002/2015ja021419,insu-01269841
10.1002/2015ja021479,insu-01239888
10.1002/2015ja022062,insu-01253286
10.1002/2015ja022324,insu-01330864
10.1002/2015jc010738,hal-01507522
10.1002/2015jc011588,
10.1002/2015jd023095,hal-01806174
10.1002/2015jd023123,insu-01183105
10.1002/2015jd023129,hal-01806099
10.1002/2015jd023228,
10.1002/2015jd023234,hal-01806151
10.1002/2015jd023268,
10.1002/2015jd023273,insu-01180350
10.1002/2015jd023283,insu-01176496
10.1002/2015jd023461,insu-01217942
10.1002/2015jd023467,insu-01218087
10.1002/2015jd023497,insu-01298539
10.1002/2015jd023538,insu-01240821
10.1002/2015jd023539,insu-01240195
10.1002/2015jd023699,insu-01240107
10.1002/2015jd023741,hal-01805195
10.1002/2015jd023919,insu-01201791
10.1002/2015jd023919.,
10.1002/2015jd024112,insu-01328544
10.1002/2015jd024187,insu-01304385
10.1002/2015jd024226,insu-01309375
10.1002/2015jd024277,insu-01305414
10.1002/2015jd024305,insu-01345608
10.1002/2015jd024326,hal-02874050
10.1002/2015jd024334,
10.1002/2015jd024511,
10.1002/2015jd024639,hal-01602797
10.1002/2015je004787,
10.1002/2015je004825,insu-01204695
10.1002/2015je004849,insu-01240163
10.1002/2015je004884,insu-01249128
10.1002/2015je004920,hal-01259869
10.1002/2015je004958,insu-01328045
10.1002/2015je004961,insu-01353759
10.1002/2015je004981,insu-01328071
10.1002/2015jg002966,hal-01805695
10.1002/2015jg003124,hal-02922860
10.1002/2015jg003260,hal-02084512
10.1002/2015pa002776,hal-01806253
10.1002/2015pa002828,hal-01805163
10.1002/2015pa002914,hal-02917061
10.1002/2015pa002915,hal-02915959
10.1002/2015rg000482,
10.1002/2015rg000483,hal-01805714
10.1002/2015rg000512,
10.1002/2015tc003940,hal-01587569
10.1002/2015wr018552,hal-02078026
10.1002/2016ea000241,insu-01442086
10.1002/2016ef000472,hal-01581147
10.1002/2016gb005405,hal-02605430
10.1002/2016gb005406,
10.1002/2016gc006281,hal-01417326
10.1002/2016gc006283,
10.1002/2016gc006320,hal-02181000
10.1002/2016gc006378,hal-02917069
10.1002/2016gc006749,hal-01511154
10.1002/2016gc006762,hal-01791077
10.1002/2016gl068148,
10.1002/2016gl068240,
10.1002/2016gl068501,hal-02922408
10.1002/2016gl068535,insu-01298980
10.1002/2016gl068874,insu-01387799
10.1002/2016gl069361,insu-01322800
10.1002/2016gl069392,insu-01327494
10.1002/2016gl069426,
10.1002/2016gl069758,hal-01360282
10.1002/2016gl069894,insu-01371221
10.1002/2016gl069896,
10.1002/2016gl070152,
10.1002/2016gl070246,
10.1002/2016gl070457,
10.1002/2016gl070620,insu-01375904
10.1002/2016gl070663,
10.1002/2016gl070710,hal-02922775
10.1002/2016gl070971,hal-02922454
10.1002/2016gl070985,hal-01436736
10.1002/2016gl071635,insu-01427750
10.1002/2016gl071733,hal-02903489
10.1002/2016gl071743,hal-01584279
10.1002/2016gl072212,
10.1002/2016gl072234,
10.1002/2016gl072368,
10.1002/2016ja022380,insu-01333668
10.1002/2016ja022568,insu-01381118
10.1002/2016ja022970,insu-01405119
10.1002/2016ja023270,insu-01397677
10.1002/2016ja023273,insu-01389787
10.1002/2016ja023348,insu-01429786
10.1002/2016ja023466,insu-01442123
10.1002/2016ja023474,insu-01471028
10.1002/2016ja023476,insu-01492717
10.1002/2016ja023479,insu-01449485
10.1002/2016ja023523,insu-01498483
10.1002/2016ja023525,insu-01474339
10.1002/2016ja023596,insu-01480841
10.1002/2016jb013335,hal-01419501
10.1002/2016jc011993,hal-01414033
10.1002/2016jd024783,
10.1002/2016jd024828,insu-01345167
10.1002/2016jd025020,hal-01366496
10.1002/2016jd025196,
10.1002/2016jd025330,hal-01449884
10.1002/2016jd025358,insu-01371298
10.1002/2016jd025443,
10.1002/2016jd025448,
10.1002/2016jd025476,hal-01584150
10.1002/2016jd025484,hal-01431023
10.1002/2016jd025801,insu-01532497
10.1002/2016jd025875,insu-01451930
10.1002/2016jd025995,hal-01600639
10.1002/2016jd026119,
10.1002/2016jd026157,hal-01584120
10.1002/2016jd026402,
10.1002/2016je005013,insu-01309689
10.1002/2016je005045,insu-01413105
10.1002/2016je005077,insu-01391207
10.1002/2016je005146,
10.1002/2016je005224,insu-01564674
10.1002/2016je005225,insu-01562821
10.1002/2016jg003384,hal-01872578
10.1002/2016ms000697,
10.1002/2016ms000728,
10.1002/2016ms000860,hal-01568436
10.1002/2016pa002928,hal-02902792
10.1002/2016pa002946,hal-01417373
10.1002/2016pa003024,
10.1002/2016pa003029,hal-02915965
10.1002/2016pa003064,
10.1002/2016pa003072,hal-02916860
10.1002/2016wr019191,hal-02887129
10.1002/2016wr020183,hal-02887128
10.1002/2017ef000612,
10.1002/2017ef000710,hal-01806778
10.1002/2017ef000768,hal-02900769
10.1002/2017gb005638,
10.1002/2017gb005678,hal-01806874
10.1002/2017gb005714,hal-02904466
10.1002/2017gb005733,hal-02903495
10.1002/2017gb005754,hal-01806792
10.1002/2017gb005799,hal-01806793
10.1002/2017gc007050,
10.1002/2017gc007289,hal-01835866
10.1002/2017gc007335,insu-01767267
10.1002/2017gl072717,insu-01519745
